KODE;NAMA;HARGA;JUMLAH
BKP01;BANDO KECIL PUTIH;Rp 20,000;2
BKP01;BANDO KECIL GANTUNGAN;Rp 50,000;4
BKM01;BANDO KECIL MERAH;Rp 20,000;2
BKP02;BANDO KECIL PUTIH;Rp 50,000;2
BKK08;BANDO KECIL 8;Rp 50,000;2
