KODE;NAMA;HARGA;JUMLAH 
BBT ;BANDO BUNGA TITIK;Rp 50,000;1
BBL ;BANDO BUNGA LENGKUNG;Rp 50,000;1
BBA;BANDO BUNGA ANTING;Rp 50,000;1
BBB;BANDO BUNGA BESAR;Rp 50,000;1
BBE;BANDO BUNGA EMAS;Rp 150,000;1
