KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
TH 01;COKLAT MUDA;Rp 30,000;12;3(B), 3(K)
TM 03;HIJAU MINT;Rp 30,000;2;
TB 06;DENIM;Rp 30,000;12;
RK 01;ROK KREM;Rp 30,000;1;
TC 02;HIJAU SAGE;Rp 30,000;10;2(T), 2(B),  
