KODE;NAMA;HARGA;JUMLAH
GP ;GELANG PANJANG;Rp 30,000;2
GTB;GELANG TIMBUL BULAT;Rp 30,000;1
GK;GELANG KECIL;Rp 30,000;4
GBB;GELANG BUNGA BESAR;Rp 30,000;1
GMP;GELANG MUTIARA PUTIH;Rp 30,000;s
