KODE;NAMA;HARGA;JUMLAH
AMM;ANTING MUTIARA MERAH;Rp 30,000;2
AMP 01;ANTING MUTIARA PUTIH;Rp 30,000;2
AMP 02;ANTING MUTIARA PELANGI;RP 30,000;1
