KODE;NAMA;HARGA;JUMLAH (DEWASA); JUMLAH :(ANAK)
GPS01;Gamis premium sage;Rp 550,000;M:1;
GPK02;Gamis premium kuning;Rp 400,000;M:1;
GHS01;Gamis sage;Rp 150,000; M:1, L:1;S:1
GSA02;Gamis sage abu;Rp 150,000;M:1;
GHJ03;Gamis sage;Rp 150,000;L:1;
GRM04;Gamis renda hitam;Rp 150,000;S:1;
GBC05;Gamis brokat coklat;Rp 150,000;L:1;
GBP07;Gamis brokat pink;Rp 150,000;S:1;S:1
GTR08;Gamis terakota;RP 150,000;M:1;
GHJ23;Gamis premium ungu;Rp 500,000;L/XL:1;
