KODE;NAMA;HARGA ;JUMLAH (DEWASA);JUMLAH (ANAK)
JJH 01;JAS JAGUAR HITAM;RP 150,000;S:1, M:4, L:4, XL:2, XXL:1;M:1, L:1
JJK 03;JAS JAGUAR KREM;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;M:1
JJP 03;JAS JAGUAR PEACH;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;S:1, L:1, M:1, XL:1
JJT 02;JAS JAGUAR TURKIS;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;M:1, L:1, XL:1
JJD 04;JAS JAGUAR DATUK;RP 150,000;S:2, M:4, L:2, XL:2;M:1, L:1
JJA 01;JAS JAGUAR ABU;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;S:2, M:2, L:2
