KODE;NAMA;HARGA;JUMLAH (DEWASA); JUMLAH :(ANAK)
GPS  01;Gamis premium sage;Rp 550,000;M:1;
GPK 02;Gamis premium kuning;Rp 400,000;M:1;
GHS 01;Gamis sage;Rp 150,000; M:1, L:1;S:1
GSA 02;Gamis sage abu;Rp 150,000;M:1;
GS.HJ 03;Gamis sage;Rp 150,000;L:1;
GRM 04;Gamis renda hitam;Rp 150,000;S:1;
GBC 05;Gamis brokat coklat;Rp 150,000;L:1;
GBP 07;Gamis brokat pink;Rp 150,000;S:1;S:1
GTR 08;Gamis terakota;RP 150,000;M:1;
GPU.HJ 23;Gamis premium ungu;Rp 500,000;L/XL:1;
