KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
PR01;PUTIH CORAK PELANGI;Rp 75.000;1;
PR02;MAROON GOLD;Rp 75.000;4;
PR03;KOTAK NAVY UNGU;Rp 75.000;2;
PR04;SAGE ABU;Rp 75.000;1;
PR05;KOTAK WARNA WARNI;Rp 75.000;4;
PR06;KOTAK PINK SAGE;Rp 75.000;2;
PR07;HITAM PUTIH;Rp 75.000;2;
PR08;BURGUNDY ROSEGOLD;Rp 75.000;2;
PR09;ABU GOLD;Rp 75.000;4;
PR10;KOTAK BIRU UNGU;Rp 75.000;5;
PR11;KOTAK NAVY BIRU;Rp 75.000;2;
PR12;HIJAU MERAH KUNING ;Rp 75.000;4;
