KODE;NAMA;HARGA;JUMLAH DEWASA;JUMLAH ANAK
JLA 01;JAS POLOS ABU;RP 100.000;S:1, M:4, L:3, XL:1;
JLK 03;JAS POLOS KREM;RP 100.000;S:2, M:4, L:4, XL:2;M:1
JLT 05;JAS POLOS TARO;RP 100.000;M:2, L:2;
JLH 07;JAS POLOS HITAM;RP 100.000;S:1, M:4, L:3, XL:1;M:1, L:1
JLP 02;JAS POLOS PINK;RP 100.000;S:1, M:4, L:4;
JLM 04;JAS POLOS MAROON;RP 100.000;S:1, M:4, L:4, XL:2, XXL:1;M:1, L:1
JLL 06;JAS POLOS LIME;RP 100.000;S:2, M:4, L:4, XL:2;L:1
JLB 08;JAS POLOS BIRU DENIM;RP 125,000;S:2, M:4, L:4, XL:2, XXL:1;"S:2, M:2, L;2"
JLD 09;JAS POLOS DATUK;RP 125,000;S:2, M:4, L:4, XL:2, XXL:2;"S:2, M:2, L;3"
