KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
JRC01;JAS RENDA COKLAT;100.000;S:2, M:4, L:4, XL:2, XXL:2;M:1, L:1
JRS04;JAS RENDA SAGE;100.000;S:2, M:4, L:4, XL:2, XXL:1;S:1, M:1, L:1, XL:1
JRP02;JAS RENDA PUTIH;100.000;S:1, M:4, L:3, XL:1, XXL:1;
JRB05;JAS RENDA BIRU;100.000;S:1, M:3, L:3, XL:1;
JRS03;JAS RENDA SILVER;100.000;XXL:1;
