KODE;NAMA;HARGA;JUMLAH (DEWASA)
JPH 01;JAGUAR PREMIUM HITAM;RP 250,000;All size:2
JPS 03;JAGUAR PREMIUM SILVER;RP 250,000;All size:1
JPB 05;JAGUAR PREMIUM BIRU;RP 250,000;All size:1
JJP 02;JAGUAR PREMIUM PINK;RP 250,000;All size:1
JPM 04;JAGUAR PREMIUM MAROON;RP 250,000;All size:2
JPO 01;JAGUAR PREMIUM OLIVE;RP 250,000;All size:2
JPO 02;JAGUAR PREMIUM OLIVE TEKSTUR;RP 250,000;All size:2
JPD;JAGUAR PREMIUM DATUIK;RP 250,000;All size:1
