Kode ;Nama;Harga;Jumlah (Dewasa);Jumlah (Anak)
SKB33;SARUNG KOTAK BIRU;30.000;22;kecil:1, sedang:2, besar:2
SBG34;SARUNG BURGUNDY GOLD;30.000;16;kecil:1, sedang:2, besar:2
SMH35;SARUNG MARON HITAM BIRU;30.000;21;kecil:1, sedang:2, besar:2
SHG36;SARUNG HITAM GOLD;30.000;7;
