KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
TH01;SONGKET COKLAT;Rp 30,000;12;8
TC02;SONGKET SAGE;Rp 30,000;10;4
TM03;SONGKET HIAJU MINT;Rp 30,000;2;
RK04;ROK KREM;Rp 30,000;1;
TP05;SONGKET PINK;Rp 30,000;6;
TB06;SONGKET DENIM;Rp 30,000;12;
TK07;SONGKET KUNING;Rp 30,000;12;6
TG08;SONGKET MAHOGANY;Rp 30,000;14;3
TPS09;SONGKET SILVER PUTIH;Rp 30,000;13;2
TBP10;SONGKET BABY PINK;Rp 30,000;4;2
TBB11;SONGKET BABY BLUE;Rp 30,000;4;2
