Kode ;Nama;Harga;Jumlah (Dewasa);Jumlah (Anak)
OTB1;ORGANZA TURKISH BARU;100.000;S:2, M:5,L:5, XL:2, XXL:1;S:2, M:2, L:2
OAC2;ORGANZA ABU CAPPA;100.000;S:2, M:5,L:5, XL:2, XXL:1;M:4
