KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
JRW6;JAS RENDA WINE (BURGUNDY);125,000;S:2, M':5, L:6, XL:2, XXL:1, ;L:2, XL:2
JK01;Jas coksu;100,000;M:1;
