KODE;NAMA;HARGA ;JUMLAH (DEWASA);JUMLAH (ANAK)
JJU06;JAS JAGUAR UNGU;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;S:2, M:2, L:2
JJS08;JAS JAGUAR SALEM;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;S:2, M:2, L:2, XL:2
JJM09;JAS JAGUAR MAHOGANY;RP 150,000;S:2, M:4, L:4, XL:2, XXL:1;S:2, M:2, L:2
JJB10;JAS JAGUAR BROWNIES;RP 150,000;S:2, M:3, L:3, XL:2, XXL:1;S:2, M:2, L:2, XL:2

